Price,Close,High,Low,Open,Volume
Date,,,,,
2020-07-01,88.48501586914062,89.2748220077914,88.43641686423359,88.7304656885215,110737200
2020-07-02,88.48501586914062,90.03060958463712,88.37080487027472,89.39390551485566,114041600
2020-07-06,90.85200500488281,91.32102654126581,89.88479363094679,89.91638706165726,118655600
2020-07-07,90.57011413574219,92.01120488127154,90.45832825923631,91.23112145924068,112424400
2020-07-08,92.67951965332031,92.71111309340714,91.46200043450004,91.54949053137899,117092000
2020-07-09,93.07804870605469,93.62726270349853,92.02821230000306,93.5737986064413,125642800
2020-07-10,93.2408676147461,93.29919680465662,92.05980720131565,92.67220807313528,90257200
2020-07-13,92.81072998046875,97.16317034048585,92.59687358818513,94.54830204332501,191649200
2020-07-14,94.34660339355469,94.53858170931154,91.25542322619387,92.19103384207206,170989200
2020-07-15,94.99545288085938,96.47542722006055,93.79494692925732,96.22511971933456,153198000
2020-07-16,93.82653045654297,94.68438106422201,93.22627754411272,93.86541410703498,110577600
2020-07-17,93.6369857788086,94.43408214536427,93.16309912532118,94.27855494560396,92186800
2020-07-20,95.61028289794922,95.74880452196625,93.37938613595313,93.72447392303613,90318000
2020-07-21,94.29071044921875,96.47786610396867,94.04040293204935,96.40253133583123,103433200
2020-07-22,94.55558776855469,95.23846569726479,93.90430327124304,93.9917859277632,89001600
2020-07-23,90.25174713134766,94.36602737751309,89.4400704095434,94.28826007791201,197004400
2020-07-24,90.02819061279297,90.37327845626743,86.65510916238252,88.4461529673066,185438800
2020-07-27,92.161865234375,92.25421298171179,90.86901902055509,91.09259075129832,121214000
2020-07-28,90.64787292480469,91.90913313088771,90.64300783304508,91.73172785652534,103625600
2020-07-29,92.38546752929688,92.57016307024732,91.09504612171995,91.13149723735485,90329200
2020-07-30,93.50332641601562,93.60782206135195,91.14848849561243,91.55675572597188,158130000
2020-07-31,103.29206085205078,103.44273037041387,98.0088604443455,100.01132775994397,374336800
2020-08-03,105.89478302001953,108.51936675829901,104.87897253825906,105.17787905542978,308151200
2020-08-04,106.6019515991211,107.69552926335136,105.36012955059792,106.08432365144441,173071600
2020-08-05,106.98834991455078,107.30913448125898,105.85588858029786,106.32248498790055,121776800
2020-08-06,110.72108459472656,111.21684185628432,106.73074554314383,107.32127567476975,202428800
2020-08-07,108.20378875732422,110.69920737426857,107.40525509708888,110.24150989285232,198045600
2020-08-10,109.7764892578125,110.7965681078349,107.12038961467015,109.65232461053742,212403600
2020-08-11,106.51174926757812,109.53789844079104,106.25125017767719,109.03881778751953,187902400
2020-08-12,110.05158996582031,110.30965211624508,107.41009717699765,107.6048585408266,165598000
2020-08-13,111.99925231933594,113.00472456165949,110.94508601296111,111.43443386689364,210082000
2020-08-14,111.89942932128906,111.98950664875923,110.08568325260936,111.82395872639943,165565200
2020-08-17,111.60726165771484,113.04852095183266,110.97914996990063,113.02417392493486,119561600
2020-08-18,112.5372543334961,112.96330126715455,111.02296150639188,111.35893113425243,105633600
2020-08-19,112.67847442626953,114.09538682492261,112.58353067113143,112.9462768876478,145538000
2020-08-20,115.17877197265625,115.29319632845385,112.70282683961905,112.71987050380967,126907200
2020-08-21,121.11420440673828,121.5986783126057,116.12823475555052,116.14040455462136,338054800
2020-08-24,122.56275939941406,125.41362769585429,120.69302357078764,125.3284093838819,345937600
2020-08-25,121.55729675292969,121.90300674261194,119.83119859572422,121.43313953220415,211495600
2020-08-26,123.21035766601562,123.66805506312153,121.8080520118478,122.87682491569296,163022400
2020-08-27,121.73744201660156,124.1476490247268,120.5907617170358,123.81411631076067,155552400
2020-08-28,121.54025268554688,123.13244579194858,121.31627042883115,122.71370217000428,187630000
2020-08-31,125.66194915771484,127.57064628140903,122.70153764471402,124.24017775703048,225702700
2020-09-01,130.66738891601562,131.27116847594937,127.11294564543486,129.28456388151181,151948100
2020-09-02,127.96015167236328,134.3678995522413,123.67534259699028,133.98810972446663,200119000
2020-09-03,117.7155532836914,125.46717239071351,117.34550374738473,123.58770382002211,257599600
2020-09-04,117.79346466064453,120.4617338734343,107.98708104487906,116.9267639955814,332607200
2020-09-08,109.86656188964844,115.87503988575807,109.73022744851274,110.96697771586362,231366600
2020-09-09,114.2487564086914,116.02111152579629,112.24268617440501,114.19032948681344,176940500
2020-09-10,110.51903533935547,117.3455283202875,109.55495382599455,117.20919386101103,182274400
2020-09-11,109.06802368164062,112.21347084794252,107.12038040161133,111.57074499929149,180860300
2020-09-14,112.34008026123047,112.89515837432545,109.84709890131904,111.71683492125261,140150100
2020-09-15,112.51534271240234,115.71921650157876,110.63586682482071,115.23230572686505,184642000
2020-09-16,109.19463348388672,112.96332644603498,109.10699308995494,112.21348694471548,154679000
2020-09-17,107.45149230957031,109.26280142604845,105.8641654729451,106.84772755719133,178011000
2020-09-18,104.04309844970703,107.97733869117779,103.31273223375831,107.50990847358545,287104900
