Date,Close,High,Low,Open,Volume,Daily_Returns
2020-07-01,88.48501586914062,89.2748220077914,88.43641686423359,88.7304656885215,110737200,
2020-07-02,88.48501586914062,90.03060958463712,88.37080487027472,89.39390551485566,114041600,0.0
2020-07-06,90.8520050048828,91.3210265412658,89.88479363094679,89.91638706165726,118655600,2.675016908221717
2020-07-07,90.5701141357422,92.01120488127154,90.45832825923632,91.23112145924068,112424400,-0.3102747915419646
2020-07-08,92.67951965332033,92.71111309340714,91.46200043450004,91.549490531379,117092000,2.329030428753409
2020-07-09,93.07804870605467,93.62726270349852,92.02821230000306,93.5737986064413,125642800,0.4300076804725439
2020-07-10,93.2408676147461,93.29919680465662,92.05980720131564,92.67220807313528,90257200,0.1749272905426036
2020-07-13,92.81072998046876,97.16317034048583,92.59687358818512,94.548302043325,191649200,-0.4613187814323849
2020-07-14,94.34660339355467,94.53858170931154,91.25542322619388,92.19103384207206,170989200,1.6548446644144787
2020-07-15,94.99545288085938,96.47542722006057,93.79494692925732,96.22511971933456,153198000,0.6877295673253903
2020-07-16,93.82653045654295,94.684381064222,93.22627754411272,93.86541410703498,110577600,-1.230503554504292
2020-07-17,93.6369857788086,94.43408214536429,93.16309912532118,94.27855494560396,92186800,-0.20201607883406636
2020-07-20,95.61028289794922,95.74880452196624,93.37938613595313,93.72447392303611,90318000,2.1073906883354754
2020-07-21,94.29071044921876,96.47786610396868,94.04040293204936,96.40253133583124,103433200,-1.3801574566397967
2020-07-22,94.55558776855467,95.2384656972648,93.90430327124304,93.9917859277632,89001600,0.2809156045955996
2020-07-23,90.25174713134766,94.36602737751308,89.4400704095434,94.288260077912,197004400,-4.551651297162474
2020-07-24,90.02819061279297,90.37327845626744,86.65510916238252,88.4461529673066,185438800,-0.24770325856333653
2020-07-27,92.161865234375,92.2542129817118,90.86901902055509,91.09259075129832,121214000,2.3700072244691395
2020-07-28,90.64787292480467,91.90913313088772,90.64300783304508,91.73172785652534,103625600,-1.6427535464046072
2020-07-29,92.38546752929688,92.57016307024732,91.09504612171996,91.13149723735484,90329200,1.9168619719666102
2020-07-30,93.50332641601562,93.60782206135195,91.14848849561244,91.55675572597188,158130000,1.2099942952220832
2020-07-31,103.29206085205078,103.44273037041388,98.0088604443455,100.01132775994397,374336800,10.468862243983757
2020-08-03,105.89478302001952,108.519366758299,104.87897253825906,105.17787905542978,308151200,2.519769812412509
2020-08-04,106.6019515991211,107.69552926335136,105.36012955059792,106.0843236514444,173071600,0.667803038954129
2020-08-05,106.98834991455078,107.30913448125898,105.85588858029786,106.32248498790057,121776800,0.362468331614374
2020-08-06,110.72108459472656,111.21684185628432,106.73074554314384,107.32127567476977,202428800,3.4889169551236554
2020-08-07,108.20378875732422,110.69920737426855,107.40525509708888,110.24150989285232,198045600,-2.273546946018845
2020-08-10,109.7764892578125,110.7965681078349,107.12038961467016,109.65232461053742,212403600,1.4534615825842145
2020-08-11,106.51174926757812,109.53789844079104,106.2512501776772,109.03881778751952,187902400,-2.973988339677236
2020-08-12,110.05158996582033,110.30965211624508,107.41009717699764,107.6048585408266,165598000,3.323427436488191
2020-08-13,111.99925231933594,113.00472456165949,110.94508601296111,111.43443386689364,210082000,1.769772116986701
2020-08-14,111.89942932128906,111.98950664875925,110.08568325260936,111.82395872639944,165565200,-0.08912827182296912
